page_id,name,urlslug,ID,ALIGN,EYES,HAIR,SEX,SEXUALITY,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR
85254,Springheeled Jack (Prime Earth),Springheeled_Jack_(Prime_Earth),Secret Identity,Bad Characters,ND,ND,Male Characters,Heterosexual Characters,Living Characters,1,"2013, October",2013
238459,Cricket (New Earth),Cricket_(New_Earth),Secret Identity,Bad Characters,ND,White Hair,Male Characters,Heterosexual Characters,Living Characters,1,"2011, September",2011
239474,Jabberwock (New Earth),Jabberwock_(New_Earth),Secret Identity,Bad Characters,ND,ND,Male Characters,Heterosexual Characters,Living Characters,1,"2011, September",2011
252767,Theodoric (New Earth),Theodoric_(New_Earth),Secret Identity,Good Characters,Black Eyes,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,1,"2011, September",2011
255408,Nicholas Pierce (New Earth),Nicholas_Pierce_(New_Earth),Secret Identity,Bad Characters,ND,Red Hair,Male Characters,Heterosexual Characters,Living Characters,1,"2011, October",2011
249452,Norman Rotrig (New Earth),Norman_Rotrig_(New_Earth),Secret Identity,Bad Characters,Brown Eyes,Red Hair,Male Characters,Heterosexual Characters,Living Characters,1,"2011, October",2011
212577,Bayfrentos (New Earth),Bayfrentos_(New_Earth),Secret Identity,Bad Characters,ND,ND,Male Characters,Heterosexual Characters,Living Characters,1,"2011, May",2011
212581,Bullfinch (New Earth),Bullfinch_(New_Earth),Secret Identity,ND,ND,ND,Male Characters,Heterosexual Characters,Living Characters,1,"2011, May",2011
212586,Doctor Retina (New Earth),Doctor_Retina_(New_Earth),Secret Identity,ND,ND,ND,ND,Heterosexual Characters,Living Characters,1,"2011, May",2011
212575,Fork (New Earth),Fork_(New_Earth),Secret Identity,ND,ND,ND,Male Characters,Heterosexual Characters,Living Characters,1,"2011, May",2011
212572,Hilt (New Earth),Hilt_(New_Earth),Secret Identity,ND,ND,ND,Male Characters,Heterosexual Characters,Living Characters,1,"2011, May",2011
212566,Hooded Hoodie (New Earth),Hooded_Hoodie_(New_Earth),Secret Identity,Bad Characters,ND,ND,Male Characters,Heterosexual Characters,Living Characters,1,"2011, May",2011
212569,Leatherchap (New Earth),Leatherchap_(New_Earth),Secret Identity,ND,ND,ND,Male Characters,Heterosexual Characters,Living Characters,1,"2011, May",2011
212589,Spangle (New Earth),Spangle_(New_Earth),Secret Identity,ND,ND,ND,Male Characters,Heterosexual Characters,Living Characters,1,"2011, May",2011
205312,Joan Ng (New Earth),Joan_Ng_(New_Earth),Public Identity,ND,Brown Eyes,Brown Hair,Female Characters,Heterosexual Characters,Living Characters,1,"2011, March",2011
206143,Kha-Ef-Re (New Earth),Kha-Ef-Re_(New_Earth),Public Identity,Good Characters,ND,Black Hair,Male Characters,Heterosexual Characters,Living Characters,1,"2011, March",2011
212117,Mad Hat Harry (New Earth),Mad_Hat_Harry_(New_Earth),Secret Identity,Bad Characters,ND,ND,Male Characters,Heterosexual Characters,Living Characters,1,"2011, March",2011
389578,Aya (New Earth),Aya_(New_Earth),ND,ND,ND,ND,ND,Heterosexual Characters,Living Characters,1,"2011, June",2011
216728,Backslash (New Earth),Backslash_(New_Earth),Secret Identity,Bad Characters,ND,ND,Male Characters,Heterosexual Characters,Living Characters,1,"2011, June",2011
376549,Shedd (New Earth),Shedd_(New_Earth),Secret Identity,Good Characters,ND,ND,ND,Heterosexual Characters,Living Characters,1,"2011, June",2011
227186,Stephen Lime (New Earth),Stephen_Lime_(New_Earth),ND,Bad Characters,ND,ND,Male Characters,Heterosexual Characters,Living Characters,1,"2011, June",2011
221386,Black Spider IV (New Earth),Black_Spider_IV_(New_Earth),Secret Identity,Bad Characters,ND,Black Hair,Male Characters,Heterosexual Characters,Living Characters,1,"2011, July",2011
287855,Farooq (New Earth),Farooq_(New_Earth),Secret Identity,Good Characters,ND,ND,Male Characters,Heterosexual Characters,Living Characters,1,"2011, July",2011
221983,Jennifer Myers (New Earth),Jennifer_Myers_(New_Earth),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,Heterosexual Characters,Living Characters,1,"2011, July",2011
302431,Yo-Yo (New Earth),Yo-Yo_(New_Earth),Secret Identity,Bad Characters,ND,Blond Hair,Female Characters,Heterosexual Characters,Living Characters,1,"2011, July",2011
301860,Ernie II (New Earth),Ernie_II_(New_Earth),Secret Identity,Good Characters,ND,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,1,"2011, January",2011
196838,Morris Major (New Earth),Morris_Major_(New_Earth),Secret Identity,Bad Characters,ND,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,1,"2011, January",2011
301862,Naomi Lord (New Earth),Naomi_Lord_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Heterosexual Characters,Living Characters,1,"2011, January",2011
212067,Big Mummy (New Earth),Big_Mummy_(New_Earth),Secret Identity,Good Characters,ND,ND,Female Characters,Heterosexual Characters,Living Characters,1,"2011, February",2011
212107,Charles I (New Earth),Charles_I_(New_Earth),Public Identity,Bad Characters,ND,ND,Male Characters,Heterosexual Characters,Living Characters,1,"2011, February",2011
212104,Edward I (New Earth),Edward_I_(New_Earth),Public Identity,Bad Characters,ND,ND,Male Characters,Heterosexual Characters,Living Characters,1,"2011, February",2011
200043,James Kim (New Earth),James_Kim_(New_Earth),Public Identity,Neutral Characters,ND,Black Hair,Male Characters,Heterosexual Characters,Living Characters,1,"2011, February",2011
212110,John I (New Earth),John_I_(New_Earth),Public Identity,Bad Characters,ND,ND,Male Characters,Heterosexual Characters,Living Characters,1,"2011, February",2011
212070,Richard III (New Earth),Richard_III_(New_Earth),Public Identity,Bad Characters,ND,ND,Male Characters,Heterosexual Characters,Living Characters,1,"2011, February",2011
249505,Blinder (New Earth),Blinder_(New_Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual Characters,Living Characters,1,"2011, August",2011
232861,Orphan (New Earth),Orphan_(New_Earth),Secret Identity,Bad Characters,ND,Blond Hair,Male Characters,Heterosexual Characters,Living Characters,1,"2011, August",2011
315414,SVRMiger (New Earth),SVRMiger_(New_Earth),Secret Identity,ND,ND,ND,Male Characters,Heterosexual Characters,Living Characters,1,"2011, August",2011
249026,Armory (New Earth),Armory_(New_Earth),ND,Bad Characters,ND,Blond Hair,Male Characters,Heterosexual Characters,Living Characters,1,"2011, April",2011
262556,Bizarro Blue Beetle (New Earth),Bizarro_Blue_Beetle_(New_Earth),ND,Neutral Characters,ND,ND,Male Characters,Heterosexual Characters,Living Characters,1,"2011, April",2011
262557,Bizarro Captain Marvel (New Earth),Bizarro_Captain_Marvel_(New_Earth),ND,Neutral Characters,ND,ND,ND,Heterosexual Characters,Living Characters,1,"2011, April",2011
211185,Bizarro Power Girl (New Earth),Bizarro_Power_Girl_(New_Earth),Secret Identity,Neutral Characters,ND,Blond Hair,Female Characters,Heterosexual Characters,Living Characters,1,"2011, April",2011
213792,Southside (New Earth),Southside_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Blue Hair,Male Characters,Heterosexual Characters,Living Characters,1,"2011, April",2011
183802,Ace of Spades VII (New Earth),Ace_of_Spades_VII_(New_Earth),Identity Unknown,Bad Characters,ND,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,1,"2010, October",2010
178862,Dana Tan (New Earth),Dana_Tan_(New_Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Female Characters,Heterosexual Characters,Living Characters,1,"2010, October",2010
183803,Jack of Clubs IV (New Earth),Jack_of_Clubs_IV_(New_Earth),ND,Bad Characters,Brown Eyes,Black Hair,Male Characters,Heterosexual Characters,Living Characters,1,"2010, October",2010
183804,King of Diamonds IV (New Earth),King_of_Diamonds_IV_(New_Earth),ND,Bad Characters,ND,Brown Hair,Male Characters,Heterosexual Characters,Living Characters,1,"2010, October",2010
183801,Queen of Hearts V (New Earth),Queen_of_Hearts_V_(New_Earth),ND,Bad Characters,Green Eyes,Red Hair,Female Characters,Heterosexual Characters,Living Characters,1,"2010, October",2010
183805,Ten of Hearts II (New Earth),Ten_of_Hearts_II_(New_Earth),ND,Bad Characters,ND,Black Hair,Female Characters,Heterosexual Characters,Living Characters,1,"2010, October",2010
219775,Bogeyman (New Earth),Bogeyman_(New_Earth),Secret Identity,Bad Characters,Red Eyes,White Hair,Male Characters,Heterosexual Characters,Living Characters,1,"2010, November",2010
253199,Bonehead (New Earth),Bonehead_(New_Earth),Secret Identity,Bad Characters,Black Eyes,ND,Male Characters,Heterosexual Characters,Living Characters,1,"2010, November",2010
191950,Glyn Droilx (New Earth),Glyn_Droilx_(New_Earth),Public Identity,Good Characters,ND,Grey Hair,Male Characters,Heterosexual Characters,Living Characters,1,"2010, November",2010
253202,Luftwaffe (New Earth),Luftwaffe_(New_Earth),Secret Identity,Bad Characters,ND,ND,Male Characters,Heterosexual Characters,Living Characters,1,"2010, November",2010
182358,Maxine Gibson (New Earth),Maxine_Gibson_(New_Earth),Public Identity,Good Characters,Black Eyes,Purple Hair,Female Characters,Heterosexual Characters,Living Characters,1,"2010, November",2010
190591,Olivia Reynolds II (New Earth),Olivia_Reynolds_II_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Female Characters,Heterosexual Characters,Living Characters,1,"2010, November",2010
203430,Reb (New Earth),Reb_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Heterosexual Characters,Living Characters,1,"2010, November",2010
162078,Charles English (New Earth),Charles_English_(New_Earth),ND,Bad Characters,ND,ND,Male Characters,Heterosexual Characters,Living Characters,1,"2010, March",2010
284476,Cloud (New Earth),Cloud_(New_Earth),Public Identity,ND,Black Eyes,Black Hair,Male Characters,Heterosexual Characters,Living Characters,1,"2010, March",2010
183773,Jack of Diamonds III (New Earth),Jack_of_Diamonds_III_(New_Earth),ND,Bad Characters,ND,ND,Male Characters,Heterosexual Characters,Living Characters,1,"2010, March",2010
183774,Jack of Spades IX (New Earth),Jack_of_Spades_IX_(New_Earth),ND,Bad Characters,ND,ND,Male Characters,Heterosexual Characters,Living Characters,1,"2010, March",2010
183775,King of Spades VIII (New Earth),King_of_Spades_VIII_(New_Earth),ND,Bad Characters,ND,ND,Male Characters,Heterosexual Characters,Living Characters,1,"2010, March",2010
234829,Mister Justice (New Earth),Mister_Justice_(New_Earth),Secret Identity,Good Characters,White Eyes,Black Hair,Male Characters,Heterosexual Characters,Living Characters,1,"2010, March",2010
